variant,effect,sweep_variable,sweep_value,trial_count,sample_count,new_error_rate_mean,new_error_rate_p05,new_error_rate_p50,new_error_rate_p95,recovery_rate_mean,recovery_rate_p05,recovery_rate_p50,recovery_rate_p95,net_top1_drop_mean,prediction_change_rate_mean,seeds,metric_definition,claim_boundary
MobileViT-S,wdm_adjacent_crosstalk,crosstalk_alpha,0.05,1,1024,0.3906,0.3906,0.3906,0.3906,0.2930,0.2930,0.2930,0.2930,0.0977,1.1719,20260706,percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XS,gaussian_pd_tia_noise,noise_lsb,0.0,5,1024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XS,gaussian_pd_tia_noise,noise_lsb,0.25,5,1024,0.1172,0.0977,0.0977,0.1758,0.0781,0.0000,0.0977,0.1758,0.0391,0.2930,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XS,gaussian_pd_tia_noise,noise_lsb,0.5,5,1024,0.2930,0.1172,0.2930,0.4687,0.2148,0.0391,0.2930,0.2930,0.0781,0.7031,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XS,gaussian_pd_tia_noise,noise_lsb,1.0,5,1024,0.4883,0.4102,0.4883,0.5664,0.3711,0.2930,0.3906,0.4687,0.1172,1.4844,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XS,mrr_variation,sigma_percent,0.0,5,1024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XS,mrr_variation,sigma_percent,1.0,5,1024,0.2930,0.0391,0.2930,0.4883,0.2930,0.0977,0.3906,0.4687,0.0000,1.3281,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XS,mrr_variation,sigma_percent,3.0,5,1024,0.9570,0.8789,0.8789,1.0742,1.0547,0.5469,1.1719,1.5039,-0.0977,3.8281,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XS,mrr_variation,sigma_percent,5.0,5,1024,1.7969,1.5820,1.8555,1.9531,1.7383,1.2500,1.5625,2.2852,0.0586,6.4844,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XS,thermal_drift,delta_c,0.0,5,1024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XS,thermal_drift,delta_c,2.0,5,1024,0.4102,0.3906,0.3906,0.4687,0.3906,0.1367,0.3906,0.6445,0.0195,1.4648,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XS,thermal_drift,delta_c,5.0,5,1024,1.1133,0.9766,0.9766,1.3477,1.1719,0.6055,1.2695,1.6602,-0.0586,4.4141,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
MobileViT-XS,thermal_drift,delta_c,10.0,5,1024,2.3828,2.0312,2.3438,2.8125,2.0508,1.2109,1.8555,2.9297,0.3320,8.5156,"20260706,20260707,20260708,20260709,20260710",percentage of all labelled samples that are clean-correct and perturbed-wrong; recovery and net-drop columns retained,Imagenette-160 subset paired diagnostic; not full ImageNet or measured-device robustness
