model,model_name,input_shape,backend,precision,stage,op_group,op_type,execution_domain,pdpu_candidate,tokens,channels,embedding_dim,input_bytes,output_bytes,weight_bytes,output_elements,kernel_elements,groups,in_channels_actual,out_channels_actual,estimated_macs,nonlinear_ops,estimated_latency_share,estimated_energy_share,layer_name,module_type,trace_source,evidence_label
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,control_residual,Identity,electronic remainder,no,196,192,192,18816,18816,0,4704,1,1,0,0,0,0,8.0000,8.0000,stages.4.1.conv_kxk.bn.drop,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,normalization_softmax_activation,SiLU,electronic remainder,no,196,192,192,18816,18816,0,4704,1,1,0,0,0,4704,8.0000,8.0000,stages.4.1.conv_kxk.bn.act,SiLU,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,pointwise_conv,Conv2d 1x1,PDPU-extension candidate,extension,196,192,192,18816,28224,55296,7056,1,1,96,144,677376,0,0.0877,0.0877,stages.4.1.conv_1x1,Conv2d,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,normalization_softmax_activation,LayerNorm,electronic remainder,no,196,192,192,36864,36864,1152,9216,1,1,0,0,0,9216,8.0000,8.0000,stages.4.1.transformer.0.norm1,LayerNorm,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,qkv_projection,Linear,PDPU-candidate linear/MVM,yes,196,192,192,36864,110592,250560,27648,1,1,144,432,3981312,0,0.5155,0.5155,stages.4.1.transformer.0.attn.qkv,Linear,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,normalization_softmax_activation,Identity,electronic remainder,no,196,192,192,36864,36864,0,9216,1,1,0,0,0,9216,8.0000,8.0000,stages.4.1.transformer.0.attn.q_norm,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,normalization_softmax_activation,Identity,electronic remainder,no,196,192,192,36864,36864,0,9216,1,1,0,0,0,9216,8.0000,8.0000,stages.4.1.transformer.0.attn.k_norm,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,normalization_softmax_activation,Identity,electronic remainder,no,196,192,192,36864,36864,0,9216,1,1,0,0,0,9216,8.0000,8.0000,stages.4.1.transformer.0.attn.norm,Identity,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,attention_output_projection,Linear,PDPU-candidate linear/MVM,yes,196,192,192,36864,36864,83520,9216,1,1,144,144,1327104,0,0.1718,0.1718,stages.4.1.transformer.0.attn.proj,Linear,torch_hooks,local torch/timm hook trace; not edge evidence
MobileViT-XS,mobilevit_xs,1x3x224x224,mps,fp32,stages,control_residual,Dropout,electronic remainder,no,196,192,192,36864,36864,0,9216,1,1,0,0,0,0,8.0000,8.0000,stages.4.1.transformer.0.attn.proj_drop,Dropout,torch_hooks,local torch/timm hook trace; not edge evidence
