run_id,model,mode,axis,sweep_value,frame,state,latency_ms,energy_mj,sram_hit_rate,programming_events
base_digital,MobileViT-XXS,digital,main,nominal,0,cold,1.542014252999544,2.9969802695001513,0.0,0
base_digital,MobileViT-XXS,digital,main,nominal,1,warm,0.7648592530019143,2.66125234230065,0.7402851005662956,0
