frame,component,energy_j
0,hbm,0.0024018696000002848
0,sram_noc,1.4945126400003257e-05
0,electronic_dynamic,0.00011756126719999975
0,view_metadata,0.0
0,electronic_static,0.0004626042758998632
1,hbm,0.0023048200000000693
1,sram_noc,9.413299200006303e-06
1,electronic_dynamic,0.00011756126720000018
1,view_metadata,0.0
1,electronic_static,0.00022945777590057425
